id;datum;fallzahl;neue_faelle;todesfaelle;7_tage_inzidenz;rel_veraenderung_der_7_tage_inzidenz;7_tage_hosp_inzidenz;its_belegung
5716;03.06.2025;;;;0,9;;;
5713;02.06.2025;1470212;36;6396;0,8;-22,2;;
5710;01.06.2025;1470176;0;6374;0,8;-14,8;;0,3
5707;31.05.2025;1470176;0;6374;0,8;-7,8;;0,3
5704;30.05.2025;1470176;0;6374;0,7;-0,9;0,2;0,3
5701;29.05.2025;1470176;0;6374;0,9;9,6;0,2;0,2
5698;28.05.2025;1470176;0;6374;1;19,7;0,3;0,2
5695;27.05.2025;1470176;0;6374;1,2;34,5;0,5;0,2
5692;26.05.2025;1470176;55;6374;1,4;43,2;0,7;0,2
5689;25.05.2025;1470121;0;6374;1,3;43,2;0,7;0
5686;24.05.2025;1470121;0;6374;1,3;40,8;0,7;0
5683;23.05.2025;1470121;0;6374;1,3;36;0,7;0
5680;22.05.2025;1470121;0;6374;1,2;20,8;0,7;0,2
5677;21.05.2025;1470121;0;6374;1,3;8;0,7;0,2
5674;20.05.2025;1470121;0;6374;1,1;-12,8;0,5;0,2
5671;19.05.2025;1470121;29;6374;0,9;-21,4;0,5;0,2
5668;18.05.2025;1470092;0;6374;0,9;-22,4;0,5;0
5665;17.05.2025;1470092;0;6374;1;-22,2;0,5;0
5662;16.05.2025;1470092;0;6374;0,9;-22,1;0,5;0
5659;15.05.2025;1470092;0;6374;0,8;-15,7;0,4;0
5656;14.05.2025;1470092;0;6374;0,6;-12;0,3;0
5653;13.05.2025;1470092;;6374;0,7;-2,5;0,4;0
5650;12.05.2025;;;;0,8;0,8;0,3;0
5647;11.05.2025;1470066;0;6374;0,9;6,2;0,3;0,2
5644;10.05.2025;1470066;0;6374;0,8;11,9;0,3;0,3
5641;09.05.2025;1470066;0;6374;1,2;19,7;0,5;0,3
5638;08.05.2025;1470066;0;6374;1,1;20,6;0,5;0,3
5635;07.05.2025;1470066;0;6374;1,4;23,5;0,6;0,3
5632;06.05.2025;1470066;0;6374;1,3;14,9;0,6;0,5
5629;05.05.2025;1470066;46;6374;1,1;12,9;0,5;0,5
5626;04.05.2025;1470020;0;6373;1,1;7,3;0,5;0,3
5623;03.05.2025;1470020;0;6373;1,1;1,9;0,5;0,3
5620;02.05.2025;1470020;0;6373;0,7;-3,5;0,3;0,3
5617;01.05.2025;1470020;0;6373;0,9;-4;0,4;0,3
5614;30.04.2025;1470020;0;6373;0,8;-7,2;0,3;0,3
5611;29.04.2025;1470020;0;6373;1,1;-3,7;0,4;0,3
5608;28.04.2025;1470020;20;6373;1;-4,6;0,4;0,5
5605;27.04.2025;1470000;;6371;1;-1;0,4;0,5
5602;26.04.2025;;;;1;2,1;0,4;0,5
5599;25.04.2025;;;;0,9;4,1;0,4;0,6
5596;24.04.2025;;;;0,8;8,7;0,3;0,5
5593;23.04.2025;1470000;0;6371;1;15,4;0,4;0,5
5590;22.04.2025;1470000;47;6371;0,7;17;0,2;0,2
5587;21.04.2025;1469953;0;6371;1;25,5;0,4;0,3
5584;20.04.2025;1469953;0;6371;1;23,6;0,4;0,3
5581;19.04.2025;1469953;0;6371;1;20,8;0,4;0,3
5578;18.04.2025;1469953;0;6371;1,1;17,9;0,4;0,5
5575;17.04.2025;1469953;0;6371;1,1;4,3;0,4;0,5
5572;16.04.2025;1469953;0;6371;1;-12,3;0,3;0,3
5569;15.04.2025;1469953;0;6371;0,8;-23,9;0,3;0,2
5566;14.04.2025;1469953;29;6371;0,8;-29,8;0,2;0,3
5563;13.04.2025;1469924;0;6370;0,8;-34,9;0,2;0,2
5560;12.04.2025;1469924;0;6370;0,8;-37,1;0,2;0,2
5557;11.04.2025;1469924;0;6370;0,7;-37,5;0,2;0,2
5554;10.04.2025;1469924;0;6370;0,7;-36,6;0,2;0,2
5551;09.04.2025;1469924;0;6370;0,8;-33,7;0,2;0,3
5548;08.04.2025;1469924;0;6370;0,8;-30,9;0,2;0
5545;07.04.2025;1469924;31;6370;0,9;-26,9;0,2;0
5542;06.04.2025;1469893;0;6369;0,9;-22,1;0,2;0
5539;05.04.2025;1469893;0;6369;0,8;-17,2;0,2;0,2
5536;04.04.2025;1469893;0;6369;1;-11,1;0,3;0,2
5533;03.04.2025;1469893;0;6369;1,2;-5,6;0,4;0
5530;02.04.2025;1469893;0;6369;1,3;0,3;0,5;0
5527;01.04.2025;1469893;0;6369;1,3;5,7;0,5;0,2
5524;31.03.2025;1469893;46;6369;1,5;11;0,5;0,2
5521;30.03.2025;1469847;0;6369;1,5;15,3;0,5;0,2
5518;29.03.2025;1469847;0;6369;1,5;19,6;0,5;0,2
5515;28.03.2025;1469847;0;6369;1,5;23,3;0,5;0,2
5512;27.03.2025;1469847;0;6369;1,5;25,3;0,4;0,2
5509;26.03.2025;1469847;0;6369;1,5;24,7;0,5;0,2
5506;25.03.2025;1469847;0;6369;1,5;23,2;0,6;0,2
